RuleId,Priority,Filter1,Filter2,Filter3,Filter4,OutputValue
51,569,BBB,BBB,<ANY>,CCC,45
52,754,<ANY>,BBB,AAA,CCC,32
53,112,<ANY>,BBB,BBB,<ANY>,25
54,470,CCC,AAA,CCC,CCC,80
55,258,AAA,<ANY>,BBB,BBB,4
56,675,BBB,DDD,<ANY>,AAA,65
57,721,AAA,CCC,DDD,BBB,91
58,634,AAA,AAA,<ANY>,DDD,69
59,562,BBB,BBB,<ANY>,CCC,75
60,439,CCC,BBB,CCC,AAA,48
61,722,DDD,DDD,BBB,DDD,98
62,324,AAA,DDD,BBB,CCC,14
63,156,<ANY>,DDD,BBB,DDD,40
64,788,CCC,<ANY>,BBB,AAA,81
65,318,BBB,BBB,DDD,<ANY>,75
66,97,<ANY>,CCC,DDD,CCC,86
67,41,AAA,<ANY>,<ANY>,BBB,55
68,836,<ANY>,AAA,DDD,DDD,80
69,601,AAA,<ANY>,BBB,AAA,89
70,757,BBB,BBB,BBB,AAA,42
71,991,<ANY>,DDD,DDD,DDD,47
72,344,<ANY>,DDD,DDD,AAA,47
73,240,DDD,AAA,DDD,<ANY>,12
74,792,DDD,CCC,AAA,CCC,81
75,304,<ANY>,BBB,BBB,BBB,76
76,724,DDD,AAA,CCC,CCC,91
77,153,DDD,AAA,CCC,DDD,89
78,188,CCC,BBB,BBB,DDD,14
79,675,DDD,DDD,DDD,<ANY>,47
80,395,CCC,AAA,AAA,AAA,16
81,116,DDD,AAA,AAA,CCC,100
82,493,DDD,CCC,DDD,BBB,4
83,748,AAA,CCC,CCC,AAA,1
84,253,BBB,BBB,AAA,DDD,66
85,876,<ANY>,AAA,CCC,<ANY>,33
86,362,AAA,<ANY>,DDD,DDD,34
87,428,BBB,CCC,DDD,DDD,54
88,954,BBB,BBB,BBB,DDD,84
89,917,CCC,AAA,DDD,BBB,49
90,602,BBB,AAA,<ANY>,AAA,56
91,968,BBB,DDD,<ANY>,CCC,22
92,538,DDD,<ANY>,CCC,DDD,79
93,838,BBB,DDD,CCC,AAA,99
94,52,CCC,BBB,DDD,AAA,10
95,384,BBB,DDD,BBB,<ANY>,63
96,834,AAA,AAA,DDD,AAA,1
97,701,<ANY>,AAA,BBB,<ANY>,92
98,613,BBB,<ANY>,DDD,BBB,4
99,596,BBB,BBB,<ANY>,CCC,11
100,906,DDD,CCC,AAA,DDD,7
101,45,DDD,<ANY>,BBB,BBB,63
102,17,DDD,<ANY>,CCC,BBB,84
103,996,AAA,<ANY>,DDD,AAA,8
104,508,CCC,<ANY>,DDD,CCC,45
105,379,<ANY>,AAA,CCC,<ANY>,49
106,367,AAA,CCC,BBB,<ANY>,72
107,352,AAA,DDD,CCC,<ANY>,29
108,39,AAA,AAA,<ANY>,<ANY>,58
109,358,AAA,CCC,<ANY>,DDD,8
110,157,DDD,DDD,<ANY>,BBB,70
111,796,CCC,AAA,DDD,DDD,81
112,704,BBB,DDD,DDD,BBB,31
113,742,DDD,CCC,<ANY>,BBB,68
114,953,DDD,AAA,AAA,DDD,58
115,459,CCC,DDD,DDD,BBB,81
116,107,<ANY>,<ANY>,AAA,AAA,74
117,992,BBB,CCC,BBB,DDD,21
118,323,AAA,DDD,DDD,CCC,51
119,165,BBB,DDD,BBB,<ANY>,21
120,539,BBB,CCC,<ANY>,DDD,38
121,132,DDD,BBB,<ANY>,CCC,90
122,640,BBB,CCC,AAA,BBB,63
123,996,AAA,AAA,DDD,BBB,21
124,589,BBB,BBB,CCC,DDD,32
125,307,AAA,<ANY>,<ANY>,AAA,13
126,440,CCC,AAA,<ANY>,BBB,79
127,362,AAA,<ANY>,CCC,CCC,84
128,720,CCC,AAA,<ANY>,AAA,92
129,96,DDD,DDD,AAA,AAA,24
130,697,<ANY>,DDD,BBB,DDD,13
131,951,DDD,<ANY>,<ANY>,DDD,4
132,996,AAA,DDD,BBB,CCC,96
133,415,BBB,<ANY>,<ANY>,CCC,50
134,333,DDD,DDD,<ANY>,AAA,15
135,576,CCC,BBB,AAA,<ANY>,16
136,775,CCC,<ANY>,BBB,BBB,90
137,988,<ANY>,<ANY>,AAA,CCC,15
138,658,DDD,BBB,BBB,BBB,95
139,30,<ANY>,<ANY>,BBB,BBB,44
140,350,CCC,CCC,DDD,BBB,44
141,124,DDD,CCC,BBB,<ANY>,90
142,838,<ANY>,DDD,CCC,DDD,58
143,625,BBB,DDD,CCC,BBB,91
144,943,CCC,CCC,AAA,<ANY>,91
145,384,BBB,<ANY>,BBB,BBB,78
146,127,AAA,CCC,DDD,<ANY>,1
147,655,BBB,DDD,BBB,DDD,39
148,323,DDD,CCC,<ANY>,CCC,61
149,235,AAA,CCC,DDD,CCC,40
150,776,DDD,DDD,AAA,<ANY>,56
151,844,DDD,BBB,CCC,BBB,34
152,92,<ANY>,BBB,DDD,CCC,96
153,220,CCC,<ANY>,AAA,CCC,94
154,121,CCC,BBB,<ANY>,AAA,81
155,694,CCC,CCC,AAA,DDD,56
156,890,<ANY>,CCC,DDD,DDD,99
157,784,DDD,DDD,CCC,BBB,29
158,14,DDD,<ANY>,BBB,DDD,52
159,226,<ANY>,AAA,DDD,CCC,78
160,327,<ANY>,AAA,<ANY>,<ANY>,97
161,862,CCC,CCC,AAA,BBB,66
162,485,DDD,DDD,AAA,<ANY>,11
163,968,BBB,DDD,DDD,DDD,50
164,167,CCC,CCC,CCC,AAA,55
165,734,CCC,BBB,AAA,DDD,48
166,54,<ANY>,CCC,BBB,AAA,16
167,219,AAA,BBB,BBB,AAA,57
168,39,CCC,AAA,AAA,AAA,69
169,822,AAA,AAA,AAA,DDD,55
170,279,BBB,AAA,BBB,BBB,18
171,508,<ANY>,BBB,CCC,CCC,9
172,694,BBB,AAA,<ANY>,DDD,96
173,146,CCC,CCC,AAA,AAA,97
174,238,CCC,AAA,CCC,BBB,100
175,737,<ANY>,BBB,CCC,CCC,51
176,761,<ANY>,<ANY>,AAA,AAA,94
177,91,AAA,DDD,BBB,CCC,52
178,768,CCC,<ANY>,BBB,DDD,43
179,343,BBB,CCC,AAA,CCC,9
180,519,<ANY>,BBB,BBB,<ANY>,13
181,99,AAA,AAA,CCC,DDD,94
182,384,AAA,BBB,BBB,DDD,72
183,596,BBB,CCC,BBB,CCC,79
184,236,CCC,BBB,<ANY>,<ANY>,51
185,691,DDD,BBB,CCC,BBB,78
186,36,DDD,<ANY>,<ANY>,<ANY>,12
187,473,DDD,DDD,DDD,DDD,86
188,612,BBB,CCC,BBB,<ANY>,17
189,298,DDD,DDD,DDD,BBB,87
190,208,AAA,DDD,<ANY>,AAA,39
191,640,BBB,BBB,<ANY>,BBB,36
192,610,<ANY>,<ANY>,DDD,DDD,40
193,28,DDD,DDD,DDD,DDD,78
194,182,AAA,BBB,AAA,DDD,47
195,302,AAA,AAA,BBB,BBB,92
196,922,<ANY>,CCC,BBB,DDD,47
197,506,AAA,CCC,BBB,<ANY>,66
198,97,DDD,<ANY>,DDD,BBB,78
199,78,BBB,<ANY>,CCC,DDD,18
200,698,<ANY>,<ANY>,<ANY>,AAA,77
201,386,AAA,BBB,DDD,<ANY>,95
202,719,AAA,<ANY>,CCC,BBB,17
203,843,CCC,CCC,BBB,<ANY>,55
204,87,DDD,CCC,CCC,<ANY>,51
205,7,CCC,CCC,DDD,<ANY>,51
206,204,<ANY>,AAA,AAA,DDD,37
207,393,BBB,CCC,CCC,DDD,10
208,433,<ANY>,AAA,DDD,DDD,83
209,454,BBB,DDD,BBB,<ANY>,3
210,277,DDD,BBB,BBB,AAA,19
211,244,AAA,DDD,DDD,<ANY>,33
212,85,<ANY>,CCC,AAA,DDD,37
213,753,CCC,CCC,DDD,CCC,79
214,664,BBB,CCC,CCC,DDD,30
215,267,DDD,BBB,BBB,BBB,38
216,513,CCC,CCC,DDD,AAA,87
217,251,<ANY>,CCC,AAA,DDD,56
218,335,CCC,AAA,AAA,AAA,43
219,672,CCC,BBB,<ANY>,AAA,5
220,136,DDD,CCC,<ANY>,CCC,13
221,482,CCC,BBB,DDD,DDD,20
222,836,BBB,AAA,DDD,DDD,39
223,631,AAA,BBB,BBB,DDD,83
224,342,DDD,DDD,CCC,DDD,80
225,578,CCC,AAA,CCC,DDD,18
226,838,CCC,CCC,AAA,AAA,6
227,33,AAA,CCC,<ANY>,CCC,18
228,521,DDD,BBB,BBB,<ANY>,72
229,973,CCC,DDD,AAA,<ANY>,36
230,619,AAA,DDD,DDD,CCC,33
231,736,DDD,AAA,CCC,<ANY>,44
232,276,AAA,DDD,DDD,<ANY>,43
233,436,DDD,BBB,CCC,AAA,46
234,342,BBB,CCC,BBB,<ANY>,20
235,20,<ANY>,CCC,DDD,DDD,72
236,847,CCC,<ANY>,BBB,<ANY>,95
237,885,CCC,<ANY>,AAA,AAA,85
238,221,DDD,DDD,BBB,CCC,25
239,168,DDD,DDD,<ANY>,AAA,14
240,228,CCC,<ANY>,DDD,AAA,67
241,667,BBB,AAA,AAA,BBB,29
242,711,CCC,AAA,AAA,DDD,75
243,626,AAA,BBB,BBB,CCC,36
244,65,CCC,BBB,<ANY>,CCC,69
245,358,AAA,BBB,CCC,BBB,98
246,15,<ANY>,CCC,DDD,<ANY>,84
247,455,BBB,<ANY>,DDD,DDD,39
248,769,<ANY>,BBB,BBB,AAA,74
249,795,DDD,<ANY>,AAA,BBB,92
250,854,AAA,AAA,CCC,AAA,47
251,617,DDD,CCC,<ANY>,<ANY>,78
252,945,BBB,BBB,<ANY>,BBB,75
253,816,<ANY>,DDD,AAA,CCC,35
254,726,CCC,CCC,CCC,CCC,77
255,631,BBB,<ANY>,<ANY>,DDD,26
256,34,BBB,CCC,CCC,DDD,63
257,575,DDD,BBB,<ANY>,CCC,91
258,633,<ANY>,CCC,DDD,AAA,69
259,764,DDD,BBB,AAA,AAA,70
260,967,<ANY>,<ANY>,<ANY>,DDD,81
261,418,CCC,AAA,DDD,BBB,77
262,934,DDD,BBB,<ANY>,CCC,46
263,838,DDD,DDD,CCC,AAA,4
264,163,DDD,AAA,BBB,DDD,60
265,979,<ANY>,AAA,AAA,BBB,24
266,985,<ANY>,CCC,CCC,BBB,16
267,764,CCC,CCC,AAA,BBB,36
268,977,DDD,CCC,CCC,CCC,60
269,525,DDD,BBB,AAA,<ANY>,72
270,725,CCC,BBB,CCC,<ANY>,1
271,577,CCC,DDD,DDD,AAA,59
272,61,BBB,<ANY>,<ANY>,CCC,75
273,235,DDD,DDD,AAA,BBB,4
274,87,CCC,CCC,AAA,BBB,36
275,76,CCC,<ANY>,BBB,BBB,76
276,796,DDD,<ANY>,CCC,<ANY>,91
277,705,<ANY>,BBB,AAA,DDD,55
278,182,CCC,BBB,<ANY>,<ANY>,100
279,185,CCC,DDD,AAA,<ANY>,29
280,961,DDD,BBB,AAA,DDD,43
281,433,<ANY>,DDD,<ANY>,<ANY>,48
282,710,DDD,BBB,CCC,CCC,29
283,411,AAA,BBB,BBB,CCC,33
284,27,CCC,<ANY>,CCC,<ANY>,72
285,842,BBB,BBB,<ANY>,CCC,48
286,378,AAA,DDD,AAA,<ANY>,54
287,442,<ANY>,<ANY>,CCC,AAA,37
288,25,AAA,DDD,AAA,DDD,30
289,253,CCC,DDD,CCC,DDD,31
290,521,DDD,AAA,DDD,BBB,99
291,488,CCC,BBB,<ANY>,<ANY>,69
292,29,DDD,CCC,DDD,DDD,74
293,712,<ANY>,AAA,BBB,<ANY>,86
294,305,AAA,BBB,<ANY>,<ANY>,33
295,185,BBB,DDD,CCC,CCC,2
296,568,<ANY>,DDD,BBB,<ANY>,55
297,976,CCC,<ANY>,<ANY>,CCC,9
298,859,BBB,AAA,AAA,DDD,55
299,895,BBB,BBB,CCC,DDD,48
300,425,DDD,DDD,CCC,CCC,23
301,911,CCC,CCC,DDD,BBB,19
302,278,AAA,CCC,<ANY>,<ANY>,75
303,191,BBB,<ANY>,<ANY>,<ANY>,42
304,503,<ANY>,DDD,DDD,AAA,17
305,747,CCC,CCC,DDD,<ANY>,30
306,849,CCC,BBB,DDD,CCC,1
307,927,BBB,AAA,BBB,CCC,5
308,507,<ANY>,AAA,CCC,CCC,60
309,463,DDD,<ANY>,BBB,BBB,3
310,114,BBB,<ANY>,BBB,BBB,50
311,249,DDD,CCC,DDD,<ANY>,56
312,246,CCC,DDD,<ANY>,DDD,60
313,493,<ANY>,AAA,DDD,DDD,45
314,965,AAA,DDD,BBB,CCC,3
315,543,AAA,BBB,CCC,BBB,26
316,852,DDD,DDD,BBB,DDD,63
317,509,BBB,<ANY>,BBB,AAA,16
318,272,AAA,<ANY>,CCC,DDD,37
319,110,BBB,<ANY>,CCC,CCC,94
320,504,<ANY>,CCC,<ANY>,BBB,97
321,566,BBB,BBB,BBB,AAA,5
322,258,AAA,DDD,<ANY>,<ANY>,98
323,481,<ANY>,DDD,BBB,<ANY>,37
324,154,AAA,AAA,DDD,CCC,17
325,735,AAA,CCC,<ANY>,<ANY>,73
326,495,DDD,AAA,CCC,DDD,5
327,772,AAA,DDD,AAA,BBB,26
328,179,<ANY>,CCC,CCC,CCC,29
329,971,<ANY>,AAA,CCC,AAA,48
330,622,DDD,AAA,DDD,CCC,1
331,694,DDD,<ANY>,<ANY>,BBB,27
332,680,<ANY>,DDD,CCC,DDD,94
333,475,DDD,AAA,DDD,CCC,87
334,400,AAA,AAA,DDD,CCC,19
335,504,AAA,AAA,<ANY>,AAA,97
336,993,<ANY>,BBB,<ANY>,BBB,74
337,771,CCC,AAA,DDD,DDD,61
338,9,AAA,AAA,CCC,<ANY>,63
339,140,AAA,AAA,<ANY>,<ANY>,28
340,780,CCC,CCC,<ANY>,AAA,7
341,261,BBB,<ANY>,<ANY>,CCC,52
342,964,AAA,DDD,BBB,CCC,97
343,402,AAA,CCC,<ANY>,<ANY>,95
344,732,<ANY>,DDD,AAA,BBB,58
345,878,DDD,<ANY>,<ANY>,<ANY>,80
346,372,<ANY>,BBB,AAA,AAA,44
347,983,<ANY>,CCC,BBB,<ANY>,23
348,868,DDD,<ANY>,BBB,BBB,77
349,455,<ANY>,<ANY>,CCC,DDD,58
350,225,AAA,<ANY>,DDD,BBB,95
351,387,AAA,<ANY>,CCC,BBB,61
352,841,<ANY>,<ANY>,AAA,BBB,98
353,594,CCC,<ANY>,CCC,DDD,85
354,603,BBB,AAA,DDD,BBB,59
355,698,AAA,CCC,DDD,BBB,35
356,338,CCC,AAA,DDD,DDD,58
357,331,CCC,<ANY>,AAA,BBB,100
358,180,AAA,CCC,<ANY>,CCC,99
359,613,BBB,CCC,DDD,<ANY>,70
360,774,DDD,AAA,DDD,BBB,22
361,778,<ANY>,<ANY>,<ANY>,CCC,38
362,119,CCC,AAA,AAA,AAA,23
363,998,BBB,<ANY>,BBB,<ANY>,7
364,382,BBB,<ANY>,BBB,CCC,62
365,961,DDD,AAA,<ANY>,AAA,6
366,556,<ANY>,DDD,<ANY>,BBB,93
367,89,AAA,BBB,BBB,CCC,18
368,306,AAA,BBB,AAA,BBB,44
369,719,CCC,<ANY>,CCC,CCC,38
370,785,AAA,AAA,CCC,<ANY>,31
371,261,AAA,BBB,BBB,AAA,22
372,380,DDD,DDD,DDD,DDD,17
373,453,BBB,CCC,BBB,BBB,77
374,622,DDD,<ANY>,CCC,CCC,47
375,467,DDD,CCC,DDD,BBB,94
376,742,<ANY>,DDD,<ANY>,DDD,30
377,290,BBB,AAA,DDD,DDD,64
378,645,AAA,BBB,AAA,AAA,26
379,427,<ANY>,DDD,CCC,BBB,72
380,690,<ANY>,DDD,AAA,BBB,40
381,78,<ANY>,DDD,<ANY>,BBB,82
382,656,<ANY>,BBB,CCC,AAA,84
383,359,AAA,<ANY>,AAA,<ANY>,91
384,813,<ANY>,BBB,BBB,DDD,37
385,466,<ANY>,CCC,AAA,DDD,100
386,213,CCC,BBB,AAA,CCC,13
387,380,DDD,DDD,AAA,BBB,93
388,387,CCC,DDD,<ANY>,CCC,15
389,54,DDD,DDD,AAA,CCC,84
390,975,CCC,DDD,AAA,AAA,41
391,117,DDD,AAA,DDD,BBB,98
392,268,CCC,AAA,DDD,<ANY>,4
393,289,<ANY>,DDD,BBB,<ANY>,38
394,795,CCC,DDD,AAA,BBB,76
395,752,BBB,BBB,<ANY>,BBB,57
396,78,<ANY>,BBB,<ANY>,CCC,23
397,396,<ANY>,AAA,DDD,CCC,11
398,468,BBB,DDD,AAA,CCC,32
399,871,<ANY>,AAA,DDD,AAA,27
400,922,AAA,AAA,DDD,DDD,68
401,754,DDD,CCC,CCC,<ANY>,96
402,599,AAA,CCC,DDD,BBB,18
403,481,DDD,CCC,AAA,CCC,3
404,510,<ANY>,DDD,DDD,BBB,64
405,374,BBB,CCC,AAA,<ANY>,23
406,207,BBB,DDD,<ANY>,CCC,82
407,669,AAA,CCC,DDD,BBB,22
408,996,AAA,DDD,DDD,BBB,36
409,652,<ANY>,<ANY>,DDD,BBB,23
410,546,CCC,CCC,<ANY>,DDD,28
411,519,<ANY>,BBB,AAA,AAA,12
412,814,DDD,CCC,BBB,BBB,57
413,715,AAA,DDD,<ANY>,AAA,73
414,999,<ANY>,BBB,CCC,CCC,66
415,694,AAA,DDD,AAA,BBB,33
416,120,<ANY>,<ANY>,AAA,AAA,86
417,487,AAA,<ANY>,AAA,AAA,97
418,416,BBB,CCC,CCC,AAA,46
419,541,<ANY>,CCC,CCC,BBB,43
420,566,BBB,DDD,AAA,BBB,34
421,685,CCC,CCC,CCC,DDD,63
422,292,AAA,DDD,DDD,AAA,19
423,13,DDD,BBB,AAA,BBB,25
424,169,<ANY>,BBB,AAA,<ANY>,9
425,767,<ANY>,CCC,<ANY>,BBB,79
426,16,DDD,DDD,<ANY>,AAA,33
427,913,BBB,CCC,CCC,<ANY>,52
428,901,BBB,AAA,CCC,BBB,36
429,158,BBB,DDD,BBB,BBB,96
430,798,DDD,BBB,<ANY>,DDD,6
431,352,DDD,DDD,BBB,DDD,71
432,932,<ANY>,<ANY>,BBB,CCC,8
433,263,CCC,AAA,<ANY>,BBB,19
434,583,AAA,AAA,BBB,AAA,80
435,740,DDD,AAA,<ANY>,CCC,22
436,612,DDD,<ANY>,AAA,DDD,81
437,768,DDD,<ANY>,AAA,<ANY>,22
438,513,CCC,BBB,<ANY>,DDD,32
439,108,AAA,AAA,<ANY>,<ANY>,88
440,579,DDD,CCC,<ANY>,BBB,70
441,270,AAA,DDD,CCC,CCC,95
442,762,AAA,CCC,BBB,<ANY>,8
443,902,DDD,<ANY>,AAA,AAA,91
444,597,BBB,<ANY>,BBB,CCC,66
445,814,CCC,DDD,DDD,<ANY>,29
446,52,CCC,CCC,BBB,<ANY>,91
447,199,<ANY>,DDD,BBB,<ANY>,46
448,39,BBB,CCC,CCC,<ANY>,13
449,306,AAA,AAA,AAA,<ANY>,62
450,119,<ANY>,AAA,BBB,DDD,93
451,744,BBB,BBB,AAA,DDD,10
452,771,BBB,<ANY>,DDD,DDD,29
453,714,CCC,<ANY>,BBB,DDD,17
454,661,DDD,AAA,DDD,CCC,68
455,346,CCC,BBB,CCC,<ANY>,25
456,611,BBB,DDD,DDD,<ANY>,7
457,257,BBB,<ANY>,DDD,DDD,40
458,128,<ANY>,BBB,BBB,AAA,84
459,879,BBB,<ANY>,AAA,DDD,28
460,194,<ANY>,BBB,BBB,BBB,53
461,796,<ANY>,AAA,<ANY>,BBB,14
462,778,AAA,<ANY>,BBB,DDD,3
463,177,AAA,BBB,BBB,DDD,30
464,713,<ANY>,CCC,AAA,BBB,67
465,897,DDD,<ANY>,<ANY>,AAA,59
466,264,CCC,AAA,CCC,CCC,45
467,805,<ANY>,AAA,CCC,AAA,40
468,486,AAA,AAA,<ANY>,DDD,66
469,966,<ANY>,BBB,BBB,<ANY>,85
470,786,DDD,<ANY>,CCC,CCC,93
471,471,CCC,DDD,<ANY>,BBB,81
472,288,AAA,AAA,DDD,DDD,91
473,724,DDD,DDD,BBB,CCC,9
474,507,BBB,DDD,<ANY>,DDD,72
475,180,CCC,BBB,<ANY>,DDD,3
476,848,DDD,DDD,CCC,<ANY>,23
477,592,AAA,DDD,BBB,<ANY>,2
478,769,DDD,AAA,<ANY>,CCC,100
479,813,CCC,BBB,DDD,BBB,72
480,699,DDD,CCC,AAA,BBB,97
481,405,DDD,<ANY>,DDD,AAA,76
482,428,DDD,DDD,AAA,CCC,27
483,2,DDD,BBB,DDD,DDD,19
484,328,AAA,BBB,BBB,CCC,71
485,183,BBB,<ANY>,AAA,DDD,50
486,524,<ANY>,BBB,BBB,CCC,89
487,10,CCC,AAA,BBB,<ANY>,29
488,628,BBB,AAA,AAA,DDD,73
489,984,BBB,CCC,AAA,<ANY>,89
490,958,AAA,DDD,BBB,BBB,65
491,476,DDD,BBB,AAA,DDD,41
492,708,CCC,CCC,BBB,CCC,26
493,262,<ANY>,CCC,DDD,DDD,77
494,731,CCC,<ANY>,BBB,<ANY>,71
495,278,DDD,DDD,BBB,AAA,48
496,775,BBB,BBB,CCC,CCC,47
497,976,CCC,BBB,AAA,BBB,83
498,469,<ANY>,DDD,DDD,CCC,65
499,593,CCC,AAA,<ANY>,CCC,99
500,870,BBB,<ANY>,BBB,CCC,90
501,314,DDD,BBB,<ANY>,<ANY>,55
502,675,AAA,DDD,CCC,CCC,86
503,470,CCC,<ANY>,CCC,DDD,66
504,455,BBB,CCC,BBB,<ANY>,55
505,466,CCC,CCC,BBB,DDD,84
506,446,<ANY>,DDD,DDD,DDD,37
507,743,<ANY>,<ANY>,CCC,<ANY>,46
508,806,BBB,AAA,DDD,<ANY>,3
509,131,DDD,AAA,DDD,AAA,31
510,905,CCC,BBB,<ANY>,DDD,22
511,535,CCC,DDD,DDD,BBB,67
512,973,<ANY>,CCC,BBB,AAA,33
513,969,BBB,BBB,<ANY>,DDD,88
514,508,CCC,<ANY>,DDD,<ANY>,48
515,541,AAA,AAA,AAA,<ANY>,53
516,148,AAA,BBB,DDD,CCC,9
517,762,BBB,CCC,<ANY>,AAA,20
518,174,AAA,DDD,CCC,AAA,39
519,591,DDD,<ANY>,<ANY>,AAA,55
520,757,<ANY>,BBB,AAA,<ANY>,31
521,581,CCC,BBB,<ANY>,<ANY>,80
522,874,CCC,BBB,CCC,CCC,76
523,162,AAA,AAA,DDD,BBB,37
524,83,DDD,AAA,DDD,AAA,67
525,135,BBB,BBB,AAA,DDD,66
526,681,<ANY>,CCC,<ANY>,DDD,82
527,943,DDD,BBB,DDD,<ANY>,7
528,865,<ANY>,BBB,AAA,BBB,60
529,544,CCC,BBB,CCC,<ANY>,98
530,746,CCC,BBB,DDD,<ANY>,88
531,661,BBB,<ANY>,<ANY>,DDD,93
532,253,BBB,CCC,DDD,AAA,81
533,840,<ANY>,<ANY>,DDD,AAA,52
534,747,DDD,CCC,AAA,AAA,65
535,6,AAA,CCC,AAA,BBB,14
536,463,AAA,BBB,<ANY>,<ANY>,66
537,89,CCC,CCC,BBB,AAA,52
538,895,CCC,DDD,CCC,CCC,93
539,691,BBB,<ANY>,BBB,CCC,82
540,417,AAA,CCC,AAA,DDD,20
541,564,DDD,<ANY>,<ANY>,<ANY>,54
542,96,BBB,AAA,AAA,CCC,94
543,200,AAA,BBB,BBB,AAA,21
544,906,BBB,<ANY>,DDD,BBB,56
545,416,AAA,<ANY>,<ANY>,BBB,71
546,957,DDD,CCC,AAA,AAA,62
547,169,<ANY>,AAA,<ANY>,CCC,20
548,304,CCC,DDD,DDD,<ANY>,14
549,992,CCC,CCC,DDD,BBB,29
550,987,BBB,BBB,AAA,DDD,75
551,165,DDD,BBB,BBB,CCC,86
552,847,CCC,BBB,AAA,BBB,58
553,671,BBB,DDD,CCC,DDD,94
554,949,DDD,DDD,CCC,CCC,41
555,833,CCC,BBB,BBB,DDD,58
556,365,BBB,DDD,DDD,AAA,69
557,724,BBB,CCC,CCC,DDD,11
558,250,AAA,CCC,BBB,CCC,47
559,295,DDD,CCC,<ANY>,AAA,96
560,399,DDD,BBB,AAA,BBB,91
561,628,AAA,<ANY>,<ANY>,AAA,3
562,282,AAA,BBB,<ANY>,AAA,5
563,163,CCC,CCC,AAA,CCC,71
564,541,BBB,CCC,CCC,CCC,41
565,724,AAA,<ANY>,CCC,<ANY>,71
566,194,AAA,BBB,BBB,CCC,89
567,402,AAA,CCC,<ANY>,<ANY>,94
568,599,<ANY>,AAA,BBB,<ANY>,6
569,383,CCC,DDD,DDD,BBB,77
570,64,<ANY>,BBB,BBB,BBB,21
571,970,AAA,AAA,<ANY>,CCC,32
572,16,AAA,CCC,CCC,AAA,66
573,7,<ANY>,<ANY>,<ANY>,AAA,11
574,424,AAA,DDD,DDD,DDD,90
575,804,BBB,AAA,<ANY>,CCC,86
576,833,BBB,AAA,CCC,BBB,43
577,278,<ANY>,AAA,<ANY>,CCC,53
578,429,CCC,BBB,AAA,AAA,40
579,397,<ANY>,BBB,DDD,CCC,40
580,975,CCC,CCC,DDD,AAA,78
581,220,BBB,AAA,AAA,DDD,32
582,230,<ANY>,BBB,CCC,AAA,42
583,858,<ANY>,AAA,BBB,AAA,18
584,186,<ANY>,CCC,<ANY>,AAA,62
585,248,CCC,<ANY>,DDD,<ANY>,42
586,289,CCC,DDD,CCC,AAA,44
587,203,BBB,BBB,AAA,AAA,8
588,215,CCC,<ANY>,AAA,CCC,49
589,777,<ANY>,DDD,AAA,AAA,83
590,689,BBB,CCC,DDD,CCC,41
